年月日,时分秒,纬度,经度,深度,震级,震中参考地名
2013/6/7,36:06.,40.35,116.57,5,1.1,北京怀柔
2013/6/7,17:39.,40.34,116.56,5,1,北京怀柔
2013/6/10,51:33.,39.91,115.78,0,2.5,北京房山
2013/6/10,01:57.,40.12,116.52,6,1,北京顺义
2013/6/11,11:30.,40.02,116.68,7,1.3,北京顺义
2013/6/15,12:42.,40.47,116.95,6,1.2,北京密云
2013/6/25,18:53.,39.91,115.78,5,2.7,北京房山
2013/7/2,44:57.,39.89,115.72,0,2.5,北京房山
2013/7/6,27:39.,40.14,116,6,1.2,北京昌平
2013/7/8,14:31.,39.91,115.79,0,2.5,北京房山
2013/7/11,14:18.,40.36,116.52,8,1.4,北京怀柔
2013/7/14,59:30.,39.91,115.78,0,2.6,北京房山
2013/7/15,45:32.,40.75,116.53,6,1,北京怀柔
2013/7/15,44:02.,40.09,116.24,6,1.2,北京海淀
2013/7/15,51:50.,40.05,116.23,6,1.3,北京海淀
2013/7/22,35:28.,40.23,116.26,8,1.5,北京昌平
2013/8/1,05:43.,40.31,117.15,6,1.6,北京平谷
2013/8/3,52:50.,40.04,116.24,6,1.8,北京海淀
2013/8/3,57:39.,40.03,116.25,6,1,北京海淀
2013/8/14,42:37.,40.13,116.51,6,1.4,北京顺义
2013/8/18,54:45.,40.29,116.54,5,1.1,北京怀柔
2013/8/22,46:06.,39.64,116.74,4,1.2,北京通州
2013/9/4,10:30.,39.82,116.25,5,1.3,北京丰台
2013/9/7,17:57.,39.99,116.2,6,1.6,北京海淀
2013/9/9,33:32.,40.1,115.93,6,1.2,北京门头沟
2013/9/14,32:55.,40.13,116.3,6,1.2,北京昌平
2013/9/23,46:26.,39.91,115.78,0,2.6,北京房山
2013/9/24,03:59.,40.51,116.36,6,1,北京延庆
2013/10/1,19:09.,40.28,116.07,6,1.2,北京昌平
2013/10/4,19:36.,40.05,116.28,9,1,北京海淀
2013/10/5,56:03.,39.71,116.6,5,1,北京大兴
2013/10/7,19:36.,39.64,116.71,8,2,北京通州
2013/10/21,59:13.,40.4,116.44,6,1,北京怀柔
